id,name,createdAt,temperature,grind,tasty,note,total time,average flowrate,total weight,brew data
"gwvrCYea6t","Espresso, Full Circle, Brazil","2020/11/21 10:19:33","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","33","1.10","37.319999694824","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.72;1.79;2.33;2.69;2.86;3.38;3.52;3.65;4.08;4.42;4.64;4.77;5.13;5.43;5.67;5.78;6.05;6.28;6.41;6.90;7.16;7.18;7.72;7.88;8.25;8.45;8.79;9.10;9.42;9.85;10.13;10.27;10.64;11.00;11.34;11.68;12.00;12.43;12.86;13.08;13.41;13.88;14.25;14.67;15.08;15.46;15.91;16.17;16.53;16.93;17.40;17.81;18.29;18.76;19.21;19.74;19.92;20.14;20.82;21.28;21.76;22.25;22.71;22.96;23.41;24.16;24.40;24.90;25.43;25.84;26.30;26.82;27.05;27.57;28.29;28.47;29.04;29.57;30.05;30.52;31.00;31.51;31.75;32.27;32.76;33.20;33.78;34.28;34.87;35.23;35.45;35.91;36.53;36.70;36.90;36.97;37.00;37.03;37.18;37.20;37.23;37.23;37.23;37.25;37.26;37.26;37.27;37.28;37.29;37.29;37.29;37.30;37.31;37.31;37.32;37.32;37.32;"
"FMobsmPx3f","Espresso, Full Circle, Brazil","2020/11/20 14:49:41","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","37","1.01","37.069999694824","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.01;-0.02;-0.02;-0.02;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.04;-0.05;-0.05;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;-0.08;-0.08;-0.08;-0.09;-0.09;-0.10;-0.10;-0.10;-0.11;-0.11;-0.11;-0.11;-0.11;-0.12;-0.12;-0.12;-0.12;1.00;1.39;1.72;2.16;2.44;2.60;2.82;3.15;3.25;3.59;3.78;3.92;4.19;4.49;4.60;4.88;5.02;5.30;5.50;5.59;5.88;6.18;6.46;6.62;6.87;7.16;7.41;7.74;7.90;8.14;8.29;8.79;9.01;9.51;9.66;9.88;10.21;10.55;10.87;11.29;11.65;11.84;12.16;12.53;12.91;13.25;13.67;14.02;14.39;14.58;14.99;15.33;15.77;15.92;16.56;16.93;17.35;17.53;18.11;18.36;18.83;19.24;19.61;20.07;20.50;20.89;21.32;21.76;21.97;22.39;22.83;23.23;23.67;24.08;24.53;25.00;25.23;25.61;26.05;26.49;26.90;27.41;27.57;28.00;28.53;28.93;29.39;29.82;30.30;30.67;31.13;31.60;32.07;32.32;33.00;33.23;33.64;34.07;34.40;34.84;35.25;35.64;36.00;36.32;36.59;36.76;36.78;36.81;37.02;37.03;37.04;37.03;37.03;37.07;37.07;37.07;37.07;37.07;37.07;37.07;37.09;37.09;37.09;37.09;37.09;37.09;37.09;37.09;37.07;37.07;37.07;37.07;37.07;37.07;"
"G1fjYQxAl9","Espresso, Full Circle, Brazil","2020/11/20 14:45:41","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","38","0.97","36.669998168945","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.05;-0.06;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;-0.08;-0.08;-0.08;-0.08;-0.08;-0.09;-0.09;-0.09;-0.10;-0.10;-0.11;-0.11;-0.12;-0.12;-0.13;-0.13;-0.13;-0.13;-0.14;-0.14;-0.16;-0.16;0.27;1.18;1.97;2.59;2.98;3.10;3.65;3.81;4.07;4.19;4.52;4.79;4.85;4.94;5.34;5.49;5.51;5.91;6.13;6.35;6.65;6.70;6.83;7.04;7.38;7.56;7.73;8.10;8.28;8.39;8.42;8.98;9.21;9.37;9.75;9.94;10.28;10.53;10.82;10.96;11.43;11.63;11.94;12.27;12.59;12.87;13.21;13.51;13.74;14.11;14.44;14.78;15.14;15.51;15.70;16.02;16.67;17.01;17.16;17.53;17.90;18.41;18.76;19.13;19.32;19.89;20.13;20.52;20.96;21.32;21.75;22.18;22.38;22.80;23.22;23.61;24.07;24.39;24.85;25.22;25.70;26.06;26.47;26.71;27.12;27.53;27.98;28.35;28.76;29.04;29.47;29.89;30.26;30.71;31.12;31.57;32.02;32.37;32.80;33.27;33.70;33.93;34.37;34.76;35.14;35.45;35.82;36.20;36.34;36.50;36.50;36.52;36.54;36.56;36.57;36.73;36.68;36.71;36.71;36.70;36.70;36.70;36.70;36.70;36.71;36.71;36.70;36.68;36.68;36.68;36.70;36.70;36.68;36.68;36.67;36.67;36.67;36.67;"
"RYxE2F9O5u","Espresso, Full Circle, Brazil","2020/11/20 09:09:20","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","36","1.00","36.799999237061","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.02;-0.02;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.05;-0.05;-0.05;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;-0.07;-0.07;-0.07;-0.08;0.12;1.45;1.91;2.32;2.66;2.98;3.25;3.36;3.70;3.89;4.13;4.35;4.55;4.77;4.89;5.07;5.28;5.38;5.71;5.97;6.21;6.32;6.63;6.89;6.91;7.23;7.51;7.75;8.01;8.16;8.51;8.82;9.07;9.33;9.64;9.80;10.10;10.38;10.73;11.02;11.33;11.68;11.98;12.13;12.50;12.86;13.15;13.52;13.87;14.20;14.58;14.76;15.08;15.44;15.80;16.21;16.61;16.95;17.33;17.71;17.92;18.48;18.90;19.08;19.48;19.89;20.26;20.68;21.07;21.23;21.84;22.05;22.46;22.90;23.26;23.67;23.88;24.50;24.72;25.16;25.56;25.97;26.39;26.82;27.24;27.65;28.15;28.32;28.68;29.12;29.55;30.00;30.40;30.88;31.25;31.70;31.91;32.57;32.78;33.16;33.67;34.05;34.31;34.68;35.17;35.48;35.81;36.23;36.39;36.50;36.52;36.70;36.66;36.70;36.71;36.71;36.72;36.73;36.73;36.76;36.75;36.76;36.77;36.77;36.78;36.78;36.79;36.80;36.80;"
"vIfWcc2Gv5","Espresso, Full Circle, Brazil","2020/11/19 11:03:51","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","33","1.10","37.470001220703","0.00;0.00;0.00;-0.01;-0.01;-0.01;-0.01;-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.01;-0.02;-0.02;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.04;0.32;1.33;1.97;2.44;3.03;3.34;3.70;4.09;4.50;4.63;4.92;5.15;5.54;5.78;6.09;6.20;6.64;6.79;7.07;7.41;7.66;7.98;8.30;8.58;8.75;9.09;9.39;9.78;10.12;10.45;10.83;10.99;11.57;11.93;12.32;12.52;12.86;13.26;13.62;14.07;14.42;14.81;15.03;15.46;15.86;16.34;16.71;17.18;17.57;18.02;18.48;18.71;19.16;19.58;20.07;20.53;21.07;21.28;21.91;22.37;22.63;23.09;23.55;24.05;24.56;25.01;25.27;25.74;26.47;26.72;27.16;27.68;28.11;28.62;29.13;29.57;29.84;30.34;30.84;31.32;31.84;32.37;32.81;33.31;33.54;34.04;34.53;35.04;35.45;35.95;36.34;36.72;37.03;37.07;37.15;37.18;37.36;37.41;37.42;37.41;37.43;37.45;37.45;37.47;37.47;37.47;37.48;37.48;37.48;37.48;37.48;37.48;37.48;37.48;37.47;37.47;"
"AFDJPH49o5","Espresso, Full Circle, Brazil","2020/11/19 10:59:22","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","33","1.09","37.040000915527","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.01;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.05;-0.05;-0.05;-0.05;-0.06;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;-0.07;1.41;1.71;2.29;2.86;3.14;3.52;3.85;4.15;4.46;4.59;4.75;5.06;5.37;5.60;5.81;6.10;6.28;6.48;6.76;6.97;7.31;7.53;7.80;8.07;8.21;8.46;8.73;9.00;9.28;9.64;9.89;10.20;10.52;10.81;10.96;11.31;11.64;11.92;12.33;12.65;12.81;13.20;13.71;13.90;14.32;14.67;15.08;15.44;15.82;16.21;16.61;17.03;17.23;17.59;18.02;18.40;18.88;19.26;19.67;20.14;20.55;20.81;21.20;21.60;22.05;22.51;22.95;23.16;23.77;24.29;24.49;24.91;25.34;25.79;26.25;26.70;27.18;27.64;27.87;28.26;28.82;29.18;29.66;30.09;30.59;31.02;31.47;31.96;32.09;32.61;33.09;33.57;34.04;34.45;34.68;35.27;35.48;35.91;36.22;36.55;36.71;36.73;36.73;36.78;36.80;36.82;37.00;36.98;36.98;36.98;37.00;37.00;37.00;37.01;37.02;37.03;37.04;37.04;"
"3BMKrUDqQy","Espresso, Full Circle, Brazil","2020/11/19 09:34:56","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:17.5}]","35","1.01","35.430000305176","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.22;1.38;1.91;2.41;2.92;3.33;3.84;4.22;4.52;4.84;5.24;5.51;5.76;5.97;6.34;6.47;6.85;7.10;7.37;7.53;7.85;8.16;8.50;8.76;9.10;9.44;9.80;10.10;10.24;10.80;10.99;11.34;11.74;12.20;12.58;12.96;13.33;13.81;13.99;14.62;14.81;15.28;15.74;15.96;16.56;17.07;17.48;17.71;18.18;18.63;19.11;19.60;20.02;20.28;20.99;21.18;21.75;22.22;22.68;23.20;23.70;24.17;24.61;24.90;25.40;25.96;26.47;27.00;27.42;27.95;28.15;28.67;29.37;29.57;30.14;30.66;31.07;31.57;32.12;32.65;32.86;33.68;33.87;34.32;34.66;34.93;35.05;35.06;35.23;35.32;35.34;35.34;35.34;35.34;35.36;35.36;35.37;35.37;35.37;35.37;35.39;35.40;35.40;35.41;35.40;35.40;35.40;35.40;35.40;35.40;35.40;35.40;35.40;35.41;35.41;35.41;35.41;35.41;35.42;35.42;35.42;35.42;35.42;35.42;35.43;"
"Ft8BZzw2Py","Espresso, Full Circle, Brazil","2020/11/19 09:31:11","92","3","2","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","33","1.13","37.200000762939","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.01;-0.02;-0.02;-0.02;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.04;-0.05;-0.05;-0.05;-0.05;-0.06;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;-0.07;-0.07;-0.07;-0.08;-0.08;-0.08;-0.08;-0.08;-0.09;-0.09;-0.09;-0.09;-0.09;-0.09;-0.10;2.21;2.92;3.47;3.65;4.12;4.54;4.69;5.04;5.34;5.56;5.81;6.06;6.40;6.64;6.76;7.06;7.31;7.59;7.84;8.13;8.45;8.64;9.05;9.39;9.53;9.79;10.14;10.44;10.77;11.11;11.34;11.79;12.21;12.39;12.71;13.11;13.50;13.85;14.27;14.41;14.80;15.24;15.67;16.06;16.39;16.79;17.27;17.71;18.08;18.53;18.98;19.21;19.63;20.10;20.55;20.97;21.39;21.63;22.04;22.73;22.97;23.41;23.84;24.32;24.78;25.28;25.82;25.99;26.42;26.92;27.31;27.79;28.27;28.52;29.00;29.65;29.89;30.36;30.88;31.34;31.88;32.07;32.52;33.27;33.53;34.01;34.48;34.89;35.36;35.77;35.95;36.48;36.79;36.84;36.91;36.95;37.12;37.17;37.16;37.16;37.18;37.18;37.18;37.18;37.18;37.18;37.20;37.18;37.18;37.18;37.18;37.20;37.20;"
"GENAAcKTBr","Espresso, Full Circle, Brazil","2020/11/18 11:07:21","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","35","1.03","37","0.00;0.00;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.05;-0.05;-0.05;-0.05;-0.05;-0.05;-0.05;-0.05;-0.05;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;-0.07;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.09;-0.09;-0.09;-0.09;-0.09;-0.09;1.06;1.33;2.15;2.25;2.62;2.82;3.12;3.42;3.67;3.94;4.10;4.23;4.69;4.75;4.96;5.18;5.39;5.69;5.91;6.06;6.43;6.54;6.66;7.05;7.35;7.56;7.91;8.14;8.28;8.55;8.91;9.18;9.53;9.83;10.08;10.50;10.76;10.91;11.26;11.68;11.93;12.30;12.67;12.99;13.39;13.77;13.96;14.36;14.75;15.12;15.48;15.93;16.29;16.74;17.15;17.53;17.76;18.18;18.61;19.01;19.38;19.57;20.28;20.72;20.87;21.36;21.76;22.24;22.61;23.09;23.52;23.75;24.18;24.63;25.06;25.54;25.96;26.42;26.87;27.06;27.76;28.21;28.45;28.92;29.31;29.81;30.27;30.75;31.18;31.45;32.12;32.32;32.90;33.31;33.76;34.16;34.66;35.15;35.37;35.75;36.12;36.45;36.67;36.68;36.73;36.92;36.93;36.96;36.97;36.98;36.98;36.98;36.98;36.98;36.98;36.98;37.00;37.00;37.00;36.98;36.98;36.98;37.00;37.01;37.01;37.01;37.01;37.00;"
"gfbQvsy23D","Espresso, Full Circle, Brazil","2020/11/18 11:03:01","92","3","3","[{”batch_name”:”Reunidas De Cachoeira”, “variety”:”catuai”, ”roast_date”:”2020-11-03”, ”roast”:”medium”, ”dose”:18}]","34","1.07","37.259998321533","0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.01;-0.02;-0.02;-0.02;-0.02;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.03;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.04;-0.05;-0.05;-0.05;-0.05;-0.06;-0.06;-0.06;-0.06;-0.06;-0.07;-0.07;-0.07;1.37;1.87;2.31;2.79;3.10;3.24;3.52;3.75;3.91;4.25;4.46;4.62;4.88;5.00;5.18;5.41;5.52;5.84;6.08;6.40;6.56;6.58;7.04;7.16;7.46;7.68;7.99;8.26;8.55;8.82;9.14;9.26;9.60;9.87;10.25;10.59;10.84;11.24;11.56;11.89;12.31;12.54;12.83;13.28;13.67;14.02;14.42;14.83;15.25;15.66;15.85;16.33;16.68;17.13;17.58;17.98;18.42;18.83;19.34;19.54;19.96;20.43;20.95;21.36;21.81;22.06;22.78;23.15;23.41;23.88;24.32;24.80;25.27;25.72;26.22;26.50;26.87;27.37;27.85;28.35;28.78;29.26;29.67;30.23;30.48;30.89;31.40;31.88;32.37;32.86;33.30;33.86;34.30;34.76;35.25;35.43;35.86;36.26;36.59;36.82;36.97;36.98;37.18;37.23;37.26;37.25;37.26;37.25;37.25;37.25;37.25;37.25;37.26;37.27;37.26;37.27;37.26;37.26;37.26;37.26;37.26;37.25;37.26;"
